Index,Time,sensor0_raw_v,sensor0_filtered_v,sensor0_delta_v,sensor0_threshold_v,sensor0_hit_count
91859,91.859414,0.592307687,0.783685565,-0.169001997,0.0547888651,0
91860,91.860416,0.684981644,0.783276141,-0.169411421,0.0547888651,0
91861,91.861414,0.414212435,0.782882988,-0.169804573,0.0547888651,0
91862,91.862415,1.26681316,0.782397389,-0.170290172,0.0547888651,0
91863,91.863413,1.26681316,0.781834304,-0.170853257,0.0547888651,0
91864,91.864415,0.954945028,0.781717837,-0.170969725,0.0547888651,0
91865,91.865413,1.37238097,0.781733334,-0.170954227,0.0547888651,0
91866,91.866418,0.780073225,0.781650364,-0.169318438,0.0547888651,0
91867,91.867416,1.04439557,0.781360745,-0.169608057,0.0547888651,0
91868,91.868427,0.706739902,0.780982316,-0.169986486,0.0547888651,0
91869,91.869415,0.600366294,0.780704916,-0.170263886,0.0547888651,0
91870,91.870414,0.600366294,0.780487418,-0.170481384,0.0547888651,0
91871,91.871415,0.414212435,0.780137241,-0.170831561,0.0547888651,0
91872,91.872413,0.768791199,0.78022635,-0.170742452,0.0547888651,0
91873,91.873415,0.58263737,0.780361474,-0.170607328,0.0547888651,0
91874,91.874413,0.938827813,0.780338705,-0.170630097,0.0547888651,0
91875,91.875415,1.38527465,0.780216098,-0.170752704,0.0547888651,0
91876,91.876416,1.13223445,0.780140221,-0.170828581,0.0547888651,0
91877,91.877418,1.26358974,0.780051947,-0.170916855,0.0547888651,0
91878,91.878416,1.26358974,0.780331552,-0.17063725,0.0547888651,0
91879,91.879429,1.01377285,0.780344009,-0.170624793,0.0547888651,0
91880,91.880416,0.838095248,0.78056699,-0.170401812,0.0547888651,0
91881,91.881415,0.597142875,0.78054595,-0.170422852,0.0547888651,0
91882,91.882428,0.413406581,0.780542135,-0.170426667,0.0547888651,0
91883,91.883419,1.00249088,0.780704021,-0.170264781,0.0547888651,0
91884,91.884413,1.36673987,0.780580759,-0.170388043,0.0547888651,0
91885,91.885420,1.36673987,0.780571878,-0.170396924,0.0547888651,0
91886,91.886417,0.847765565,0.780504525,-0.170464277,0.0547888651,0
91887,91.887416,0.484322339,0.780622363,-0.170346439,0.0547888651,0
91888,91.888418,0.428717941,0.780810654,-0.170158148,0.0547888651,0
91889,91.889417,1.01296699,0.780764699,-0.170204103,0.0547888651,0
91890,91.890427,0.952527463,0.780625343,-0.170343459,0.0547888651,0
91891,91.891418,0.763150156,0.780530512,-0.17043829,0.0547888651,0
91892,91.892412,0.718827844,0.780232966,-0.170735836,0.0547888651,0
91893,91.893419,0.718827844,0.779962897,-0.171005905,0.0547888651,0
91894,91.894413,0.823589742,0.779527128,-0.171441674,0.0547888651,0
91895,91.895412,1.29743588,0.779431045,-0.171537757,0.0547888651,0
